t C_u^{tot} C_b^{tot} C_s^{tot} phi_i^{tot} phi_m^{tot} phi_{C_u}^{tot} phi_{C_b}^{tot} -F_{phi_i}(x=1) -F_{phi_{C_b}}(x=0) m j_{phi_i} state t_{inf}
5.300025e0 5.18937539e-1 5.74474153e0 4.84338618e-1 3.99900744e-1 1.57332657e-4 1.03461310e-4 1.70713128e-3 4.36543731e-4 1.28927587e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.400025e0 5.19062350e-1 5.74815976e0 4.84463627e-1 3.99898864e-1 1.59558053e-4 1.05185497e-4 1.73575364e-3 4.36543620e-4 1.30324455e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.500025e0 5.19174527e-1 5.75127092e0 4.84576183e-1 3.99896984e-1 1.61787685e-4 1.06901127e-4 1.76424070e-3 4.36543499e-4 1.31715541e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.600025e0 5.19275369e-1 5.75410282e0 4.84677562e-1 3.99895104e-1 1.64020593e-4 1.08608361e-4 1.79259385e-3 4.36543370e-4 1.33101036e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.700025e0 5.19366036e-1 5.75668074e0 4.84768902e-1 3.99893225e-1 1.66255874e-4 1.10307349e-4 1.82081438e-3 4.36543231e-4 1.34481113e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.800025e0 5.19447572e-1 5.75902766e0 4.84851225e-1 3.99891345e-1 1.68492679e-4 1.11998231e-4 1.84890353e-3 4.36543085e-4 1.35855932e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.900025e0 5.19520908e-1 5.76116443e0 4.84925443e-1 3.99889466e-1 1.70730212e-4 1.13681138e-4 1.87686249e-3 4.36542930e-4 1.37225638e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.000025e0 5.19586882e-1 5.76311006e0 4.84992377e-1 3.99887587e-1 1.72967727e-4 1.15356195e-4 1.90469239e-3 4.36542769e-4 1.38590361e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.100025e0 5.19646242e-1 5.76488176e0 4.85052761e-1 3.99885708e-1 1.75204524e-4 1.17023515e-4 1.93239429e-3 4.36542601e-4 1.39950219e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.200025e0 5.19699661e-1 5.76649524e0 4.85107252e-1 3.99883830e-1 1.77439951e-4 1.18683206e-4 1.95996924e-3 4.36542428e-4 1.41305318e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.300025e0 5.19747742e-1 5.76796472e0 4.85156441e-1 3.99881951e-1 1.79673397e-4 1.20335368e-4 1.98741820e-3 4.36542248e-4 1.42655753e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
